"Name","SizeKB","LastWriteTime"
"aggressive-migration.ts","2,9","22/02/2026 9:18:33"
"audit-chunks.js","0,8","21/02/2026 22:35:14"
"benchmark-rag.ts","3,6","14/02/2026 18:16:29"
"bundle_code.ps1","4,3","22/02/2026 20:24:16"
"check-admin.ts","0,9","14/02/2026 18:16:29"
"check-api-key.ts","1,2","14/02/2026 18:16:29"
"check-assets-industry.js","0,6","21/02/2026 20:35:11"
"check-assets-raw.ts","0,6","16/02/2026 11:29:58"
"check-atlas-indexes.ts","0,8","14/02/2026 18:16:29"
"check-audit.ts","1,5","16/02/2026 11:29:58"
"check-audits-raw.ts","0,7","16/02/2026 11:29:58"
"check-auth-diag.ts","1,4","14/02/2026 18:16:29"
"check-blobs.ts","0,6","16/02/2026 11:29:58"
"check-chunks.ts","1,6","16/02/2026 11:29:58"
"check-docs-consistency.ts","1","14/02/2026 18:16:29"
"check-elevadores-db.ts","1,3","16/02/2026 11:29:58"
"check-embeddings.js","1,2","21/02/2026 22:34:15"
"check-error-logs.ts","1,8","16/02/2026 11:29:58"
"check-error-logs-raw.ts","2,5","16/02/2026 11:29:58"
"check-evals.ts","0,3","16/02/2026 11:29:58"
"check-ids.ts","0,9","14/02/2026 18:16:29"
"check-indexes.ts","0,6","16/02/2026 11:29:58"
"check-ingest.ts","0,7","14/02/2026 18:16:29"
"check-latest-asset.ts","1","16/02/2026 11:29:58"
"check-legacy-models.ts","1,2","22/02/2026 2:25:01"
"check-logs.ts","1,6","14/02/2026 18:16:29"
"check-logs-success.ts","1,6","14/02/2026 18:16:29"
"check-mfa-config.ts","1,1","16/02/2026 11:29:58"
"check-mfa-simple.ts","1","16/02/2026 11:29:58"
"check-queue.ts","2,4","16/02/2026 11:29:58"
"check-recent-assets.ts","0,9","16/02/2026 11:29:58"
"check-save-logs.ts","1,8","16/02/2026 11:29:58"
"check-specific-tenant.ts","1,6","16/02/2026 11:29:58"
"check-structure.ts","1,1","16/02/2026 11:29:58"
"check-tenant-quick.ts","0,8","16/02/2026 11:29:58"
"check-tenants.ts","0,7","27/02/2026 23:01:21"
"check-user-mfa.ts","1,1","16/02/2026 11:29:58"
"check-user-quick.ts","1,1","16/02/2026 11:29:58"
"check-users-tenants.ts","1","16/02/2026 11:29:58"
"clean-audit.js","0,9","21/02/2026 22:35:41"
"clean-no-md5.ts","4,4","14/02/2026 18:16:29"
"cleanup-db.ts","1,5","16/02/2026 11:29:58"
"cleanup-doc-types.ts","1","16/02/2026 11:29:58"
"cleanup-i18n.ts","1,4","16/02/2026 11:29:58"
"cleanup-ingest-db.ts","1,2","20/02/2026 15:33:09"
"cleanup-ingest-zombies.ts","1,8","16/02/2026 11:29:58"
"clear-cache.mts","1,4","16/02/2026 11:29:58"
"compare-fields.ts","1,2","16/02/2026 11:29:58"
"consolidate-i18n.ts","2,1","16/02/2026 11:29:58"
"count-logs.ts","0,9","14/02/2026 18:16:29"
"count-no-md5.ts","1","14/02/2026 18:16:29"
"count-tenants.ts","0,9","14/02/2026 18:16:29"
"count-tenants-simple.ts","1,2","14/02/2026 18:16:29"
"count-tenants-to-file.ts","2,1","14/02/2026 18:16:29"
"create-md5-indexes.ts","1,9","14/02/2026 18:16:29"
"create-production-indexes.ts","1,9","14/02/2026 18:16:29"
"create-super-admin.ts","2,1","14/02/2026 18:16:29"
"debug-auth-logic.ts","2","14/02/2026 18:16:29"
"debug-blob.ts","0,7","16/02/2026 11:29:58"
"debug-chunks-metadata.js","1","21/02/2026 20:34:41"
"debug-chunks-real.js","1,1","21/02/2026 9:43:07"
"debug-collections.ts","1","14/02/2026 18:16:29"
"debug-collections-file.ts","1,2","14/02/2026 18:16:29"
"debug-db-chunks.js","1,2","21/02/2026 9:32:47"
"debug-db-v2.ts","0,7","14/02/2026 18:16:29"
"debug-docs-structure.ts","2","16/02/2026 11:29:58"
"debug-duplicate.ts","0,7","16/02/2026 11:29:58"
"debug-failed-asset.ts","1,9","16/02/2026 11:29:58"
"debug-mfa-user.ts","2,5","16/02/2026 11:29:58"
"debug-persistent-500.ts","2,9","16/02/2026 11:29:58"
"debug-recent-ingest.ts","3,3","16/02/2026 11:29:58"
"debug-state.ts","1","16/02/2026 11:29:58"
"debug-user-session.ts","1,9","16/02/2026 11:29:58"
"debug-vectors.js","1,2","21/02/2026 22:34:50"
"deep-check.ts","1,7","14/02/2026 18:16:29"
"deep-cleanup-db.ts","1,8","20/02/2026 15:43:47"
"deep-debug-ingest.ts","0,8","16/02/2026 11:29:58"
"deep-inspect-models.ts","2,1","22/02/2026 9:13:31"
"demo-legal-risk.ts","2,7","14/02/2026 18:16:29"
"diagnose-elevadores.ts","2,3","16/02/2026 11:29:58"
"disable-mfa.ts","1,2","16/02/2026 11:29:58"
"dump-asset.js","1,1","16/02/2026 11:29:58"
"dump-error-to-file.ts","1,3","16/02/2026 11:29:58"
"dump-indexes-to-file.ts","0,6","16/02/2026 11:29:58"
"dump-prompts.ts","0,8","14/02/2026 18:16:29"
"emit-monthly-invoices.ts","2,4","14/02/2026 18:16:29"
"ensure-critical-indices.ts","2,8","14/02/2026 18:16:29"
"ensure-i18n-indexes.ts","1,9","16/02/2026 11:29:58"
"exhaustive-error-dump.js","1,2","16/02/2026 11:29:58"
"exhaustive-multi-cluster-migration.ts","2,6","22/02/2026 9:14:16"
"fetch-diag.js","1,6","16/02/2026 11:29:58"
"fetch-errors.js","0,9","21/02/2026 22:27:12"
"find-data.js","1,5","21/02/2026 9:34:16"
"find-fatal-error.ts","1,1","16/02/2026 11:29:58"
"find-gmail-users.ts","0,5","18/02/2026 11:37:10"
"find-queue-logs.ts","1,5","16/02/2026 11:29:58"
"fix-admin.ts","1,9","14/02/2026 18:16:29"
"fix-blobs-visibility.ts","0,8","16/02/2026 11:29:58"
"fix-default-tenant.ts","2,2","16/02/2026 11:29:58"
"fix-graph-explorer.ts","1,4","16/02/2026 11:29:58"
"fix-mfa-inconsistency.ts","1,3","16/02/2026 11:29:58"
"fix-profile-routes.ts","1","16/02/2026 11:29:58"
"fix-tenants-sync.ts","3,1","16/02/2026 11:29:58"
"force-brown-branding.ts","1,7","16/02/2026 11:29:58"
"force-restore-asset.ts","1,4","16/02/2026 11:29:58"
"force-sync-i18n.ts","2","16/02/2026 11:29:58"
"get-error-to-file.ts","1,2","16/02/2026 11:29:58"
